310
编号 姓名 性别 所在学院编号
10001 龙家锐 1 10010
10002 龚尧莞 0 10011
10003 齐新燕 1 10012
10004 车少飞 0 10013
10005 龙家铸 1 10014
10006 赖鸿华 0 10015
10007 龙宣霖 1 10016
10008 连丽英 0 10017
10009 齐晓巍 1 10018
10010 连俊勤 0 10019
10011 齐明星 1 10020
10012 黄相杰 0 10021
10013 龚小虎 1 10022
10014 连传杰 0 10023
10015 宇文献花 1 10024
10016 龙川凤 0 10025
10017 黄益泉 1 10026
10018 黄益波 0 10027
10019 米培燕 1 10028
10020 连保健 0 10029
10021 齐旺梅 1 10030
10022 连伟杰 0 10031
10023 齐明明 1 10032
10024 龚宁静 0 10033
10025 齐晓庆 1 10034
10026 齐晗希 0 10035
10027 连丽芳 1 10036
10028 龚峰毅 0 10037
10029 龚子鸣 1 10038
10030 连丽花 0 10039
10031 樊振玲 1 10040
10032 龚岩琳 0 10010
10033 龙展航 1 10011
10034 齐晓平 0 10012
10035 符翠红 1 10013
10036 赵馥洁 0 10014
10037 龙山红 1 10015
10038 连丽艳 0 10016
10039 赵骥万 1 10017
10040 黄登盛 0 10018
10041 米国连 1 10019
10042 符胜忠 0 10020
10043 黄相柏 1 10021
10044 龙宝霞 0 10022
10045 米增建 1 10023
10046 龚崇松 0 10024
10047 赵颖辉 1 10025
10048 连佩忠 0 10026
10049 齐敦禹 1 10027
10050 龚家逵 0 10028
10051 连丽萍 1 10029
10052 赵颖轶 0 10030
10053 黄益民 1 10031
10054 齐晓峰 0 10032
10055 齐显影 1 10033
10056 龚崇权 0 10034
10057 樊成钢 1 10035
10058 齐敬磊 0 10036
10059 连保军 1 10037
10060 黄生龙 0 10038
10061 米大丽 1 10039
10062 齐昆明 0 10040
10063 车广义 1 10010
10064 赵飞虹 0 10011
10065 龙层花 1 10012
10066 龚峻梅 0 10013
10067 辛培军 1 10014
10068 龚富贵 0 10015
10069 符育明 1 10016
10070 连书纳 0 10017
10071 赵飞虎 1 10018
10072 车广东 0 10019
10073 龚崇栋 1 10020
10074 齐景娥 0 10021
10075 辛培兵 1 10022
10076 赵骏凯 0 10023
10077 管爱娟 1 10024
10078 赵颐轩 0 10025
10079 车巧怡 1 10026
10080 黄益江 0 10027
10081 黄益汉 1 10028
10082 黄盛洁 0 10029
10083 赖鹏博 1 10030
10084 辛培勇 0 10031
10085 龚宇飞 1 10032
10086 龚子龙 0 10033
10087 齐晓怡 1 10034
10088 车广侠 0 10035
10089 樊振生 1 10036
10090 符翩翩 0 10037
10091 黄皖疆 1 10038
10092 齐景岳 0 10039
10093 黄皖生 1 10040
10094 黎皇兴 0 10010
10095 齐春敏 1 10011
10096 米塞林 0 10012
10097 龙小语 1 10013
10098 赖鹏华 0 10014
10099 黄盛波 1 10015
10100 齐新玉 0 10016
10101 车庆云 1 10017
10102 连书耀 0 10018
10103 黄睿多 1 10019
10104 梅金莉 0 10020
10105 齐星星 1 10021
10106 辛培剐 0 10022
10107 黄真敏 1 10023
10108 符耀精 0 10024
